label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
aA,120,90,69,114,image_Convert_data.jpg,600,501
aA,203,88,70,115,image_Convert_data.jpg,600,501
aA,288,87,72,113,image_Convert_data.jpg,600,501
aA,372,85,73,113,image_Convert_data.jpg,600,501
aA,458,83,70,116,image_Convert_data.jpg,600,501
aA,124,215,66,114,image_Convert_data.jpg,600,501
aA,205,214,71,115,image_Convert_data.jpg,600,501
aA,290,213,72,115,image_Convert_data.jpg,600,501
aA,376,213,71,116,image_Convert_data.jpg,600,501
aA,460,210,71,119,image_Convert_data.jpg,600,501
aA,125,367,70,110,image_Convert_data.jpg,600,501
aA,209,368,70,112,image_Convert_data.jpg,600,501
aA,293,366,70,113,image_Convert_data.jpg,600,501
aA,376,366,71,114,image_Convert_data.jpg,600,501
aA,460,361,70,115,image_Convert_data.jpg,600,501
