label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
1gfg1_0,140,109,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,224,107,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,310,105,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,394,103,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,479,103,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,143,234,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,226,233,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,312,232,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,397,233,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,481,231,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,146,384,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,230,386,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,314,384,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,397,385,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,481,380,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,140,109,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,224,107,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,310,105,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,394,103,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,479,103,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,143,234,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,226,233,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,312,232,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,397,233,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,481,231,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,146,384,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,230,386,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,314,384,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,397,385,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,481,380,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,140,109,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,224,107,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,310,105,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,394,103,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,479,103,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,143,234,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,226,233,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,312,232,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,397,233,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,481,231,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,146,384,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,230,386,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,314,384,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,397,385,28,77,rocket_pillow_paste.png,600,501
1gfg1_0,481,380,28,77,rocket_pillow_paste.png,600,501
